,#AUTHID,STATUS,sentiNEG,sentiPOS,sentiNEU,sentiCOMPOUND,sEXT,sNEU,sAGR,sCON,sOPN,cEXT,cNEU,cAGR,cCON,cOPN,DATE,NETWORKSIZE,BETWEENNESS,NBETWEENNESS,DENSITY,BROKERAGE,NBROKERAGE,TRANSITIVITY,Unnamed: 20,Unnamed: 21
0,b7b7764cfa1c523e4e93ab2a79a946c4,like sound thunder,0,0.556,0.444,0.3612,2.65,3,3.15,3.25,4.4,n,y,n,n,y,06/19/09 03:21 PM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
1,b7b7764cfa1c523e4e93ab2a79a946c4,sleepy even funny thats sleep,0,0.42,0.58,0.4404,2.65,3,3.15,3.25,4.4,n,y,n,n,y,07-02-2009 08:41,180,14861.6,93.29,0.03,15661,0.49,0.1,,
2,b7b7764cfa1c523e4e93ab2a79a946c4,sore knot muscle base neck stop hurting hand yay illinois love,0.319,0.466,0.216,0.6597,2.65,3,3.15,3.25,4.4,n,y,n,n,y,06/15/09 01:15 PM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
3,b7b7764cfa1c523e4e93ab2a79a946c4,like sound song,0,0.556,0.444,0.3612,2.65,3,3.15,3.25,4.4,n,y,n,n,y,06/22/09 04:48 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
4,b7b7764cfa1c523e4e93ab2a79a946c4,home love,0,0.808,0.192,0.6369,2.65,3,3.15,3.25,4.4,n,y,n,n,y,07/20/09 02:31 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
5,b7b7764cfa1c523e4e93ab2a79a946c4,love home,0,0.808,0.192,0.6369,2.65,3,3.15,3.25,4.4,n,y,n,n,y,07/16/09 03:21 PM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
6,b7b7764cfa1c523e4e93ab2a79a946c4,saw nun zombie liked it also  tentacleman  psychic power  party,0,0.407,0.593,0.6705,2.65,3,3.15,3.25,4.4,n,y,n,n,y,06/27/09 05:41 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
7,b7b7764cfa1c523e4e93ab2a79a946c4,kentucky 421 mile 1100 mile journey home,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,07/18/09 06:34 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
8,b7b7764cfa1c523e4e93ab2a79a946c4,finish digital painting tablet went haywire contemplating many way wish exact revenge faulty technology,0.294,0.139,0.567,-0.4588,2.65,3,3.15,3.25,4.4,n,y,n,n,y,07-09-2009 14:58,180,14861.6,93.29,0.03,15661,0.49,0.1,,
9,b7b7764cfa1c523e4e93ab2a79a946c4,celebrating haircut listening swinger music generally looking doofus,0,0.346,0.654,0.5719,2.65,3,3.15,3.25,4.4,n,y,n,n,y,07-07-2009 23:41,180,14861.6,93.29,0.03,15661,0.49,0.1,,
10,b7b7764cfa1c523e4e93ab2a79a946c4,crush green lantern,0.444,0,0.556,-0.1531,2.65,3,3.15,3.25,4.4,n,y,n,n,y,07/15/09 07:48 PM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
11,b7b7764cfa1c523e4e93ab2a79a946c4,magic brain,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,08-05-2009 04:27,180,14861.6,93.29,0.03,15661,0.49,0.1,,
12,b7b7764cfa1c523e4e93ab2a79a946c4,saw transformers up year week movie overload,0.294,0,0.706,-0.3612,2.65,3,3.15,3.25,4.4,n,y,n,n,y,06/25/09 04:36 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
13,b7b7764cfa1c523e4e93ab2a79a946c4,meet schedule pickup oviedo,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,08-11-2009 03:38,180,14861.6,93.29,0.03,15661,0.49,0.1,,
14,b7b7764cfa1c523e4e93ab2a79a946c4,desire thrill inspiration also money,0,0.811,0.189,0.8225,2.65,3,3.15,3.25,4.4,n,y,n,n,y,08-07-2009 21:35,180,14861.6,93.29,0.03,15661,0.49,0.1,,
15,b7b7764cfa1c523e4e93ab2a79a946c4,bed 9Happyfacesmiley0 yeah,0,0.524,0.476,0.296,2.65,3,3.15,3.25,4.4,n,y,n,n,y,08/18/09 01:29 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
16,b7b7764cfa1c523e4e93ab2a79a946c4,reading admiring permit occasionally glancing ner mcdonalds uniform,0,0.271,0.729,0.3818,2.65,3,3.15,3.25,4.4,n,y,n,n,y,08/21/09 10:18 PM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
17,b7b7764cfa1c523e4e93ab2a79a946c4,think intangibility option reality settings,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,08/31/09 02:27 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
18,b7b7764cfa1c523e4e93ab2a79a946c4,tired propname let sleep pl0x,0.42,0,0.58,-0.4404,2.65,3,3.15,3.25,4.4,n,y,n,n,y,07-11-2009 05:44,180,14861.6,93.29,0.03,15661,0.49,0.1,,
19,b7b7764cfa1c523e4e93ab2a79a946c4,discovering many flavor insomnia,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,07/27/09 06:59 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
20,b7b7764cfa1c523e4e93ab2a79a946c4,watching cousin play computer game television box thing also sleepy,0,0.211,0.789,0.34,2.65,3,3.15,3.25,4.4,n,y,n,n,y,06/16/09 04:52 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
21,b7b7764cfa1c523e4e93ab2a79a946c4,urge draw stuff school d,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,08/26/09 12:16 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
22,b7b7764cfa1c523e4e93ab2a79a946c4,whoda thought single text message could enough change mind,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,08/30/09 03:39 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
23,b7b7764cfa1c523e4e93ab2a79a946c4,wish develop super power prevents needing sleep,0,0.664,0.336,0.7845,2.65,3,3.15,3.25,4.4,n,y,n,n,y,09-01-2009 02:05,180,14861.6,93.29,0.03,15661,0.49,0.1,,
24,b7b7764cfa1c523e4e93ab2a79a946c4,tell draw plox,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,08-02-2009 09:14,180,14861.6,93.29,0.03,15661,0.49,0.1,,
25,b7b7764cfa1c523e4e93ab2a79a946c4,found bunny bunny died buried bunny drawing,0.375,0,0.625,-0.5574,2.65,3,3.15,3.25,4.4,n,y,n,n,y,07/26/09 07:53 PM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
26,b7b7764cfa1c523e4e93ab2a79a946c4,love,0,1,0,0.6369,2.65,3,3.15,3.25,4.4,n,y,n,n,y,09-08-2009 23:00,180,14861.6,93.29,0.03,15661,0.49,0.1,,
27,b7b7764cfa1c523e4e93ab2a79a946c4,love,0,1,0,0.6369,2.65,3,3.15,3.25,4.4,n,y,n,n,y,09-08-2009 21:46,180,14861.6,93.29,0.03,15661,0.49,0.1,,
28,b7b7764cfa1c523e4e93ab2a79a946c4,love,0,1,0,0.6369,2.65,3,3.15,3.25,4.4,n,y,n,n,y,09/17/09 01:32 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
29,b7b7764cfa1c523e4e93ab2a79a946c4,love,0,1,0,0.6369,2.65,3,3.15,3.25,4.4,n,y,n,n,y,09-08-2009 03:04,180,14861.6,93.29,0.03,15661,0.49,0.1,,
